query,expected_keywords,hit
易书元是在哪条河上坐船的？,堵河,False
划船的大爷认为易书元是什么职业？,网红,True
那群恶人想要捕捉的异兽叫什么名字？,雪蟒,False
在废弃驿站里，是谁给易书元盛汤和馒头？,阿狗,False
易书元坠河时，感觉撞到了什么东西？,冰,True
易书元是如何从现代穿越到古代的？请描述整个过程。,"桃花源记, 坠河, 撞到冰, 流光, 昏迷, 残雪",False
雪蟒第一次攻击驿站时，是如何抓走一个人的？,"悄无声息, 蛇头, 破口, 闪电般, 含住, 拖走",True
那群恶人原本计划如何捕捉雪蟒？,"活人, 诱饵, 饵, 吞了人, 跑不快, 制住",True
易书元是如何在雪蟒第一次攻击中救下阿狗的？,"拉, 拽, 手臂, 倾倒, 躲开",True
易书元为什么在刚被救上岸后，喜悦感就无影无踪了？,"奇装异服, 兵器, 凶神恶煞, 处境不妙",True
为什么那群恶人在雪蟒出现后，会从猎人变成猎物？,"体型巨大, 速度惊人, 超出预料, 恐惧",False
在篝火熄灭后，那个被称为“大哥”的首领为什么选择留下来而不是第一时间逃跑？,"阴险, 炮灰, 躲在暗处, 观察情况, 安全时机",False
阿狗这个角色在这群恶人中有什么不同？,"沉默寡言, 恐惧, 善意, 给食物, 背着逃跑",True
总结一下易书元刚穿越时面临的所有生存威胁。,"溺水, 寒冷, 恶徒, 诱饵, 雪蟒, 怪物",True
从哪些细节可以判断出，易书元穿越后的世界不是现代社会？,"奇装异服, 发髻, 冷兵器, 驿站, 皇帝, 没有现代化",False
